date,description,type,amount,category,month,is_credit,is_debit
2026-03-23,Salary Credit,credit,127188,Salary,2026-03,True,False
2026-03-24,Emergency Fund Transfer,debit,5357,Bank Transfer,2026-03,False,True
2026-03-25,Emergency Fund Transfer,debit,2556,Bank Transfer,2026-03,False,True
2026-03-26,SIP Investment,debit,7929,Investments,2026-03,False,True
2026-03-27,Dining,debit,1320,Dining,2026-03,False,True
2026-03-28,SIP Investment,debit,4431,Investments,2026-03,False,True
2026-03-29,SIP Investment,debit,786147,Investments,2026-03,False,True
2026-03-30,Dining,debit,1403,Dining,2026-03,False,True
2026-03-31,Emergency Fund Transfer,debit,6844,Bank Transfer,2026-03,False,True
2026-04-01,Emergency Fund Transfer,debit,7069,Bank Transfer,2026-04,False,True
2026-04-02,Dividend Credit,credit,230,Dividend Income,2026-04,True,False
2026-04-03,Groceries,debit,2198,Groceries,2026-04,False,True
2026-04-04,SIP Investment,debit,4063,Investments,2026-04,False,True
2026-04-05,SIP Investment,debit,10372,Investments,2026-04,False,True
2026-04-06,Emergency Fund Transfer,debit,6339,Bank Transfer,2026-04,False,True
2026-04-07,Index Fund Purchase,debit,8812,Investments,2026-04,False,True
2026-04-08,Index Fund Purchase,debit,3994,Investments,2026-04,False,True
2026-04-09,Index Fund Purchase,debit,735283,Investments,2026-04,False,True
2026-04-10,Rent,debit,20314,Rent,2026-04,False,True
2026-04-11,SIP Investment,debit,3695,Investments,2026-04,False,True
2026-04-12,Salary Credit,credit,139851,Salary,2026-04,True,False
2026-04-13,Index Fund Purchase,debit,8459,Investments,2026-04,False,True
2026-04-14,SIP Investment,debit,7916,Investments,2026-04,False,True
2026-04-15,Dividend Credit,credit,1979,Dividend Income,2026-04,True,False
2026-04-16,SIP Investment,debit,8824,Investments,2026-04,False,True
2026-04-17,Rent,debit,31800,Rent,2026-04,False,True
2026-04-18,Emergency Fund Transfer,credit,7041,Bank Transfer,2026-04,True,False
2026-04-19,Groceries,debit,2039,Groceries,2026-04,False,True
2026-04-20,Dividend Credit,credit,979,Dividend Income,2026-04,True,False
2026-04-21,Dining,debit,1040,Dining,2026-04,False,True
2026-04-17,Rent,debit,25320,Rent,2026-04,False,True
2026-04-22,Index Fund Purchase,debit,6379,Investments,2026-04,False,True
2026-04-23,Salary Credit,credit,133082,Salary,2026-04,True,False
2026-04-24,Groceries,debit,2910,Groceries,2026-04,False,True
2026-04-25,Index Fund Purchase,debit,4432,Investments,2026-04,False,True
2026-04-26,Salary Credit,credit,119426,Salary,2026-04,True,False
2026-04-27,SIP Investment,debit,7850,Investments,2026-04,False,True
2026-04-28,SIP Investment,debit,7665,Investments,2026-04,False,True
2026-04-29,Rent,debit,22351,Rent,2026-04,False,True
2026-04-30,Dining,debit,637,Dining,2026-04,False,True
2026-05-01,Dining,debit,873,Dining,2026-05,False,True
2026-05-02,Dining,debit,1126,Dining,2026-05,False,True
2026-05-03,Index Fund Purchase,debit,5148,Investments,2026-05,False,True
2026-05-05,SIP Investment,credit,9544,Investments,2026-05,True,False
2026-05-06,Groceries,debit,2336,Groceries,2026-05,False,True
2026-05-07,SIP Investment,credit,8476,Investments,2026-05,True,False
2026-05-08,SIP Investment,credit,6103,Investments,2026-05,True,False
2026-05-09,Rent,debit,28075,Rent,2026-05,False,True
2026-05-10,Groceries,debit,2928,Groceries,2026-05,False,True
2026-05-11,SIP Investment,credit,4915,Investments,2026-05,True,False
2026-05-12,Groceries,debit,1735,Groceries,2026-05,False,True
2026-05-13,Groceries,debit,1814,Groceries,2026-05,False,True
2026-05-14,Rent,debit,28503,Rent,2026-05,False,True
2026-05-15,Index Fund Purchase,credit,5584,Investments,2026-05,True,False
2026-05-16,Groceries,debit,3223,Groceries,2026-05,False,True
2026-05-17,Index Fund Purchase,debit,7606,Investments,2026-05,False,True
2026-05-18,Emergency Fund Transfer,debit,7119,Bank Transfer,2026-05,False,True
2026-05-19,Rent,debit,26123,Rent,2026-05,False,True
2026-05-20,Index Fund Purchase,debit,8788,Investments,2026-05,False,True
2026-05-21,Index Fund Purchase,debit,8648,Investments,2026-05,False,True
2026-05-22,Index Fund Purchase,debit,3673,Investments,2026-05,False,True
2026-05-23,Dividend Credit,credit,821,Dividend Income,2026-05,True,False
2026-05-24,Rent,debit,18207,Rent,2026-05,False,True
2026-05-25,Groceries,debit,2772,Groceries,2026-05,False,True
2026-05-26,Index Fund Purchase,debit,2889,Investments,2026-05,False,True
2026-05-27,Dining,debit,541,Dining,2026-05,False,True
2026-05-28,Groceries,debit,1583,Groceries,2026-05,False,True
2026-05-29,,debit,0,Other,2026-05,False,True
2026-05-30,Dividend Credit,credit,2229,Dividend Income,2026-05,True,False
2026-05-31,Rent,debit,24360,Rent,2026-05,False,True
2026-06-01,Groceries,debit,2126,Groceries,2026-06,False,True
2026-06-02,Index Fund Purchase,debit,2994,Investments,2026-06,False,True
2026-06-03,Rent,debit,29388,Rent,2026-06,False,True
2026-06-04,SIP Investment,debit,4496,Investments,2026-06,False,True
2026-06-05,SIP Investment,debit,7628,Investments,2026-06,False,True
2026-06-06,Salary Credit,credit,97318,Salary,2026-06,True,False
2026-06-07,Groceries,debit,1128,Groceries,2026-06,False,True
2026-06-08,Groceries,debit,2106,Groceries,2026-06,False,True
2026-06-09,Dining,debit,1315,Dining,2026-06,False,True
2026-06-10,Salary Credit,credit,133104,Salary,2026-06,True,False
2026-06-10,Emergency Fund Transfer,debit,4543,Bank Transfer,2026-06,False,True
2026-06-11,SIP Investment,debit,10510,Investments,2026-06,False,True
2026-06-12,Salary Credit,credit,147841,Salary,2026-06,True,False
2026-06-13,Rent,debit,20567,Rent,2026-06,False,True
2026-06-14,Rent,debit,31053,Rent,2026-06,False,True
2026-06-15,Groceries,debit,844,Groceries,2026-06,False,True
2026-06-16,Salary Credit,credit,141869,Salary,2026-06,True,False
2026-06-17,Salary Credit,credit,112306,Salary,2026-06,True,False
2026-06-18,Groceries,debit,2822,Groceries,2026-06,False,True
2026-06-19,Groceries,debit,1678,Groceries,2026-06,False,True
2026-06-20,Salary Credit,credit,84934,Salary,2026-06,True,False
2026-06-21,Dividend Credit,credit,1973,Dividend Income,2026-06,True,False
2026-06-22,Rent,debit,28689,Rent,2026-06,False,True
2026-06-23,,debit,0,Other,2026-06,False,True
2026-06-24,SIP Investment,debit,10320,Investments,2026-06,False,True
2026-06-25,SIP Investment,debit,4402,Investments,2026-06,False,True
2026-06-26,Salary Credit,credit,88216,Salary,2026-06,True,False
2026-06-27,Rent,debit,33826,Rent,2026-06,False,True
2026-06-28,SIP Investment,debit,5211,Investments,2026-06,False,True
2026-06-29,Dining,debit,1315,Dining,2026-06,False,True
2026-01-01,Index Fund Purchase,debit,9921,Investments,2026-01,False,True
2026-01-02,Index Fund Purchase,debit,4739,Investments,2026-01,False,True
2026-01-03,Salary Credit,credit,126987,Salary,2026-01,True,False
2026-01-04,Dividend Credit,credit,2134,Dividend Income,2026-01,True,False
2026-01-05,Dining,debit,1252,Dining,2026-01,False,True
2026-01-06,Groceries,debit,908,Groceries,2026-01,False,True
2026-01-07,Rent,debit,28938,Rent,2026-01,False,True
2026-01-08,Index Fund Purchase,credit,3745,Investments,2026-01,True,False
2026-01-09,Dining,debit,1387,Dining,2026-01,False,True
2026-01-10,Groceries,debit,1200,Groceries,2026-01,False,True
2026-01-11,Dividend Credit,credit,1999,Dividend Income,2026-01,True,False
2026-01-12,SIP Investment,credit,5799,Investments,2026-01,True,False
2026-01-13,SIP Investment,credit,7170,Investments,2026-01,True,False
2026-01-14,Groceries,debit,1642,Groceries,2026-01,False,True
2026-01-15,Emergency Fund Transfer,debit,6081,Bank Transfer,2026-01,False,True
2026-01-16,Salary Credit,credit,116492,Salary,2026-01,True,False
2026-01-17,Dividend Credit,credit,624,Dividend Income,2026-01,True,False
2026-01-18,Emergency Fund Transfer,debit,3798,Bank Transfer,2026-01,False,True
2026-01-19,,debit,0,Other,2026-01,False,True
2026-01-20,Emergency Fund Transfer,debit,2281,Bank Transfer,2026-01,False,True
2026-01-20,Salary Credit,credit,1632043,Salary,2026-01,True,False
